id,_subServiceId,label,value
1,1,1,Modulus
2,1,2,Phase
5,2,3,Directivity
3,2,1,Modulus
4,2,2,Phase
6,3,1,Modulus
7,3,2,Phase
8,4,1,Sound pressure level
9,5,1,Sound pressure level
12,6,3,Diffuse field response level
11,6,2,Free-field response level
13,6,4,Sound intensity response level
10,6,1,Sound pressure response level
15,7,2,Acoustic impedance
14,7,1,System response level
16,8,1,Force response level
17,8,2,Mechanical impedance
18,9,1,Modulus of charge sensitivity
19,9,2,Phase shift of charge sensitivity
20,10,1,Modulus of voltage sensitivity
21,10,2,Phase shift of voltage sensitivity
23,11,2,Directivity
22,11,1,Sound power level
24,12,1,Air-conduction response level
25,12,2,Bone-conduction response level
26,13,1,Frequency response (modulus or phase)
27,13,2,Shock response (modulus)
28,14,1,Acceleration output (modulus)
29,14,2,Shock output (modulus)
30,15,1,Charge sensitivity (modulus or phase)
34,15,5,Current sensitivity (modulus or phase)
31,15,2,Shock charge sensitivity (modulus)
33,15,4,Shock voltage sensitivity (modulus or phase)
32,15,3,Voltage sensitivity (modulus or phase)
36,16,2,Shock sensitivity (modulus)
35,16,1,Voltage sensitivity (modulus or phase)
37,17,1,Angular acceleration response (modulus)
38,17,2,Shock response (modulus)
39,18,1,Angular acceleration output (modulus)
40,19,1,Charge sensitivity (modulus or phase)
42,19,5,Current sensitivity (modulus or phase)
41,19,3,Voltage sensitivity (modulus or phase)
43,20,1,Voltage sensitivity (modulus or phase)
44,21,1,Frequency response (modulus or phase)
45,21,2,Shock response (modulus)
46,22,1,Charge sensitivity (modulus or phase)
47,22,2,Shock charge sensitivity (modulus or phase)
49,22,4,Shock voltage sensitivity (modulus or phase)
48,22,3,Voltage sensitivity (modulus or phase)
50,23,1,Charge sensitivity (modulus or phase)
52,23,3,Current sensitivity (modulus or phase)
51,23,2,Voltage sensitivity (modulus or phase)
53,24,1,Modulus
54,24,2,Phase
55,25,1,Modulus
56,25,2,Phase
57,26,1,Modulus
58,26,2,Phase
59,27,1,Modulus
60,27,2,Phase
62,28,2,Directivity
61,28,1,Ultrasonic power
63,28,3,Ultrasonic pressure
65,29,2,Directivity
64,29,1,Electroacoustic radiation conductance
66,29,3,Ultrasonic power
69,30,3,AC-DC transfer difference at higher voltages (> 5 V)
67,30,1,AC-DC transfer difference at low voltages (<= 0.5 V)
68,30,2,AC-DC transfer difference at medium voltages (0.5 V to 5 V)
71,31,2,Meters
70,31,1,Sources
73,32,2,Attenuation and gain
72,32,1,Real component and imaginary component
74,33,1,AC-DC transfer difference
76,34,2,Meters
75,34,1,Sources
77,35,1,Real component and imaginary component
78,36,1,Single phase at frequencies <= 400 Hz
79,36,2,Single phase at frequencies > 400 Hz
80,36,3,Three phase
83,37,3,Intermediate values (from above 10 V up to 1100 V)
82,37,2,Low values (below or equal to 10 V)
84,37,4,Noise voltages
81,37,1,Single values
86,38,2,Intermediate values (from above 1 mV up to 1100 V)
85,38,1,Very low values (below or equal to 1 mV)
88,39,2,Attenuation
87,39,1,Up to 1100 V
91,40,3,High values (above 1 megaohm)
90,40,2,Intermediate values (from above 1 ohm up to 1 megaohm)
89,40,1,Low values (below or equal to 1 ohm)
93,40,5,Multiple ranges
92,40,4,Standards for high current
94,40,6,"Temperature, power and pressure coefficients"
97,41,3,High values (above 1 gigaohm)
96,41,2,Intermediate values (from above 1 ohm up to 1 gigaohm)
95,41,1,Low values (<= 1 ohm)
98,42,1,DC resistance ratios
101,43,3,High values (from above 20 A up to 100 A)
100,43,2,Intermediate values (from above 0.1 mA to 20 A)
99,43,1,Low values (below 0.1 mA)
103,43,5,Noise currents
102,43,4,Transconductance ratio
106,44,3,High values (from above 20 A up to 100 A)
105,44,2,Intermediate values (from above 0.1 mA to 20 A)
104,44,1,Low values (below or equal to 0.1 mA)
107,45,1,Ratios up to 100 A
109,46,2,Electric field strength
108,46,1,Electrostatic field strength
112,47,3,AC magnetic flux density and applied magnetic field strength
114,47,5,AC shielding factor (ratio of AC magnetic flux density)
111,47,2,DC magnetic flux density and applied magnetic field strength
113,47,4,DC shielding factor (ratio of DC magnetic flux density)
117,47,8,Magnetic field gradient
110,47,1,Magnetic flux
116,47,7,Magnetic flux density or magnetic field strength per unit current
115,47,6,Turn area (ratio of magnetic flux and magnetic flux density)
118,48,1,Electric field strength
119,48,2,Magnetic field strength
122,48,5,Magnetic field strength per unit current
121,48,4,Magnetic flux density
120,48,3,Power flux density
123,48,6,Turn area (ratio of magnetic flux and magnetic flux density)
127,49,4,Average value of DC voltage
125,49,2,High voltage meters
124,49,1,High voltage sources
126,49,3,Ratios
128,49,5,RMS value of DC voltage ripple
131,50,3,Burden: real and imaginary component (real component/imaginary component/modulus/argument)
129,50,1,Capacitance and dissipation factor
130,50,2,Inductance and loss angle
132,50,4,Resistance
134,51,2,Meters
135,51,3,Peak values of high AC voltage
138,51,6,Rectified average value of high AC voltage
137,51,5,RMS value for high AC voltage
133,51,1,Sources
136,51,4,Voltage transformers: ratio error and phase displacement
143,52,5,Parameters for impulse current
139,52,1,Parameters for lightning impulse voltage
147,52,9,Parameters for other impulse voltage types
141,52,3,Parameters for switching impulse voltage
148,53,1,Apparent charge
149,53,2,Response
150,53,3,Rise time of partial discharge pulse
153,54,3,Current transformers: ratio error and phase displacement
155,54,5,High AC current RMS value
156,54,6,Other AC current parameters
160,55,4,High DC current average value
159,55,3,High DC current ratio
165,56,5,AC resistance ratios
162,56,2,AC-DC difference
164,56,4,Meters
161,56,1,Real component and imaginary component
163,56,3,Resistors for high current
167,57,2,Capacitance and dissipation factor for dielectric capacitors
166,57,1,Capacitance and dissipation factor for low loss capacitors
168,57,3,Capacitance and dissipation factor for transformed capacitors
169,57,4,Meters
174,58,5,Meters
173,58,4,Mutual inductance
175,58,6,Quality factor
172,58,3,"Self inductance, high values (above 1 H)"
171,58,2,"Self inductance, intermediate values (from 1 mH up to 1 H)"
170,58,1,"Self inductance, low values (below 1 mH)"
177,59,2,Liquids
176,59,1,Metallic materials
178,59,3,Semiconducting and similar materials
180,60,2,Dielectric loss tangent
179,60,1,Relative permittivity: real and - or imaginary part
189,61,8,Complex relative permeability
190,61,9,Density
184,61,3,Peak value of AC magnetic polarisation
183,61,2,Peak value of DC magnetic polarisation
185,61,4,Peak value of magnetic field strength
188,61,7,Relative peak permeability
182,61,10,Resistivity
186,61,5,RMS value of magnetic field strength
187,61,6,Specific apparent power
181,61,1,Specific total power loss
194,62,4,Coercive magnetic field strength
192,62,2,Magnetic field strength
191,62,1,Magnetic polarisation
195,62,5,Magnetic saturation polarisation
196,62,6,Relative permeability
193,62,3,Remanent magnetic flux density
197,63,1,DC magnetic susceptibility or relative magnetic permeability
199,64,2,Coercive field strength
202,64,5,Magnetic flux density
201,64,4,Magnetic moment
203,64,6,Magnetic polarisation
200,64,3,Maximum energy product
204,64,7,Relative recoil permeability
198,64,1,Remanent magnetic flux density
211,65,7,Overwrite of diskettes
210,65,6,Peak shift of diskettes
207,65,3,Reference field of diskettes
209,65,5,Resolution of diskettes
208,65,4,Signal amplitude of diskettes
205,65,1,Signal amplitude of magnetic stripes
206,65,2,Surface profile of magnetic stripes
212,65,8,Video and audio tapes
214,66,2,Meters
213,66,1,Sources
216,67,2,Meters
217,67,3,Phase shift
215,67,1,Sources
218,68,1,Main frequency harmonics
221,68,4,Mains frequency fluctuating harmonics
219,68,2,Mains frequency harmonic distorsion
224,68,7,Mains frequency interharmonics
222,68,5,Mains frequency voltage fluctuations
225,69,1,Absolute power in coaxial line
226,69,2,Absolute power in waveguide
227,69,3,Calibration factor and effective efficiency in coaxial line
228,69,4,Calibration factor and effective efficiency in waveguide
229,69,5,Non-CW power (absolute or relative)
230,69,6,Power measurements in balanced lines
233,70,3,Attenuation in coaxial line (values in dB)
234,70,4,Attenuation in waveguide (values in dB)
235,70,5,"Directivity, effective source match"
236,70,6,Reflection and attenuation measurements in balanced lines
231,70,1,Reflection coefficient in coaxial line (values in linear terms)
